Original File Name,New File Name,Original Path,New Path,Project Name,Year
ZKMimage.jpeg,2014_HH_Herman’s_Library_ZKM_image07of10.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 HH Herman’s Library ZKM/2014 HH Herman’s Library ZKM_gallery/ZKMimage.jpeg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 HH Herman’s Library ZKM/2014 HH Herman’s Library ZKM_gallery/2014_HH_Herman’s_Library_ZKM_image07of10.png,HH Herman’s Library ZKM,2014
image-1.jpeg,2014_HH_Herman’s_Library_ZKM_image08of10.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 HH Herman’s Library ZKM/2014 HH Herman’s Library ZKM_gallery/image-1.jpeg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 HH Herman’s Library ZKM/2014 HH Herman’s Library ZKM_gallery/2014_HH_Herman’s_Library_ZKM_image08of10.png,HH Herman’s Library ZKM,2014
image-2.jpeg,2014_HH_Herman’s_Library_ZKM_image09of10.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 HH Herman’s Library ZKM/2014 HH Herman’s Library ZKM_gallery/image-2.jpeg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 HH Herman’s Library ZKM/2014 HH Herman’s Library ZKM_gallery/2014_HH_Herman’s_Library_ZKM_image09of10.png,HH Herman’s Library ZKM,2014
photo.JPG,2014_HH_Herman’s_Library_ZKM_image10of10.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 HH Herman’s Library ZKM/2014 HH Herman’s Library ZKM_gallery/photo.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 HH Herman’s Library ZKM/2014 HH Herman’s Library ZKM_gallery/2014_HH_Herman’s_Library_ZKM_image10of10.png,HH Herman’s Library ZKM,2014
Hermans House 1.jpg,2014_THTHB_#76759_BK_Library_image01of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 1.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image01of22.png,THTHB #76759 BK Library,2014
Hermans House 10.jpg,2014_THTHB_#76759_BK_Library_image02of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 10.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image02of22.png,THTHB #76759 BK Library,2014
Hermans House 11.jpg,2014_THTHB_#76759_BK_Library_image03of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 11.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image03of22.png,THTHB #76759 BK Library,2014
Hermans House 12.jpg,2014_THTHB_#76759_BK_Library_image04of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 12.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image04of22.png,THTHB #76759 BK Library,2014
Hermans House 13.jpg,2014_THTHB_#76759_BK_Library_image05of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 13.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image05of22.png,THTHB #76759 BK Library,2014
Hermans House 14.jpg,2014_THTHB_#76759_BK_Library_image06of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 14.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image06of22.png,THTHB #76759 BK Library,2014
Hermans House 15.jpg,2014_THTHB_#76759_BK_Library_image07of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 15.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image07of22.png,THTHB #76759 BK Library,2014
Hermans House 16.jpg,2014_THTHB_#76759_BK_Library_image08of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 16.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image08of22.png,THTHB #76759 BK Library,2014
Hermans House 17.jpg,2014_THTHB_#76759_BK_Library_image09of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 17.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image09of22.png,THTHB #76759 BK Library,2014
Hermans House 18.jpg,2014_THTHB_#76759_BK_Library_image10of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 18.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image10of22.png,THTHB #76759 BK Library,2014
Hermans House 19.jpg,2014_THTHB_#76759_BK_Library_image11of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 19.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image11of22.png,THTHB #76759 BK Library,2014
Hermans House 20.jpg,2014_THTHB_#76759_BK_Library_image12of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 20.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image12of22.png,THTHB #76759 BK Library,2014
Hermans House 3.jpg,2014_THTHB_#76759_BK_Library_image13of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 3.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image13of22.png,THTHB #76759 BK Library,2014
Hermans House 5.jpg,2014_THTHB_#76759_BK_Library_image14of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 5.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image14of22.png,THTHB #76759 BK Library,2014
Hermans House 6.jpg,2014_THTHB_#76759_BK_Library_image15of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 6.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image15of22.png,THTHB #76759 BK Library,2014
Hermans House 7.jpg,2014_THTHB_#76759_BK_Library_image16of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 7.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image16of22.png,THTHB #76759 BK Library,2014
Hermans House 8.jpg,2014_THTHB_#76759_BK_Library_image17of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 8.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image17of22.png,THTHB #76759 BK Library,2014
Hermans House 9.jpg,2014_THTHB_#76759_BK_Library_image18of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/Hermans House 9.jpg,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image18of22.png,THTHB #76759 BK Library,2014
IMG_5843.JPG,2014_THTHB_#76759_BK_Library_image19of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/IMG_5843.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image19of22.png,THTHB #76759 BK Library,2014
IMG_5868.JPG,2014_THTHB_#76759_BK_Library_image20of22.png,/Volumes/T7 Shield/JACKIESUMELL.COM/NV Hermans House 2002-2020/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/IMG_5868.JPG,/Users/jwgoedert_t2studio/work_hub/jackie_sumell/jackie_sumell_web/jackie_utils/project-folders/2014 THTHB #76759 BK Library/2014 THTHB #76759 BK Library_gallery/2014_THTHB_#76759_BK_Library_image20of22.png,THTHB #76759 BK Library,2014
